epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2252.04,0.03437,0.23893,0.89037,0.87412,0.89508,0.94022,0.94,0.08579,0.3243,0.12836,0.000107722,0.000107722,0.000107722
66,2286.12,0.03276,0.22328,0.8889,0.86629,0.90858,0.95224,0.95097,0.12468,0.33449,0.16715,0.000104811,0.000104811,0.000104811
67,2320.19,0.03169,0.22967,0.88661,0.90522,0.86793,0.9529,0.95149,0.11556,0.32398,0.15584,0.0001019,0.0001019,0.0001019
68,2354.29,0.03303,0.22251,0.88804,0.86002,0.89074,0.94211,0.94159,0.11626,0.33273,0.15762,9.89898e-05,9.89898e-05,9.89898e-05
69,2388.34,0.03358,0.23709,0.88763,0.91049,0.88709,0.94245,0.94132,0.10874,0.3318,0.14707,9.60792e-05,9.60792e-05,9.60792e-05
70,2422.38,0.03246,0.22646,0.89054,0.8802,0.90635,0.95526,0.95234,0.09888,0.31099,0.1359,9.31686e-05,9.31686e-05,9.31686e-05
71,2456.53,0.03252,0.2206,0.88655,0.86859,0.90316,0.94775,0.94393,0.1116,0.31554,0.14688,9.0258e-05,9.0258e-05,9.0258e-05
72,2490.6,0.03138,0.21524,0.88662,0.86258,0.90548,0.95083,0.94479,0.11036,0.31985,0.15273,8.73474e-05,8.73474e-05,8.73474e-05
73,2524.67,0.03082,0.21803,0.8834,0.89674,0.88779,0.95433,0.95153,0.0802,0.33274,0.11483,8.44368e-05,8.44368e-05,8.44368e-05
74,2558.74,0.03178,0.21735,0.88648,0.88514,0.91105,0.95693,0.95491,0.09942,0.30051,0.13173,8.15262e-05,8.15262e-05,8.15262e-05
75,2592.88,inf,0.21891,0.88475,0.89529,0.92788,0.95747,0.95747,0.10791,0.30138,0.14537,7.86156e-05,7.86156e-05,7.86156e-05
76,2627.01,0.02936,0.21665,0.88703,0.8998,0.91185,0.95001,0.95001,0.0973,0.31348,0.13424,7.5705e-05,7.5705e-05,7.5705e-05
77,2662.27,0.02945,0.2184,0.88795,0.8942,0.91916,0.9581,0.9581,0.08273,0.29399,0.11572,7.27944e-05,7.27944e-05,7.27944e-05
78,2696.38,0.02709,0.20772,0.8896,0.90598,0.93507,0.96,0.96,0.08518,0.29357,0.11959,6.98838e-05,6.98838e-05,6.98838e-05
79,2730.47,0.02878,0.20682,0.8884,0.87501,0.93303,0.94898,0.94898,0.09857,0.34014,0.14199,6.69732e-05,6.69732e-05,6.69732e-05
80,2764.58,0.02762,0.21534,0.88451,0.89243,0.93067,0.95691,0.95682,0.09223,0.35773,0.14277,6.40626e-05,6.40626e-05,6.40626e-05
81,2798.67,0.02714,0.19406,0.88576,0.89431,0.92467,0.95574,0.95574,0.09289,0.29487,0.1303,6.1152e-05,6.1152e-05,6.1152e-05
82,2832.73,0.02614,0.19598,0.88782,0.91359,0.9292,0.95829,0.95829,0.09257,0.23819,0.12799,5.82414e-05,5.82414e-05,5.82414e-05
83,2866.84,0.0264,0.20679,0.88776,0.92405,0.93451,0.9653,0.9653,0.08237,0.24381,0.11435,5.53308e-05,5.53308e-05,5.53308e-05
84,2900.96,0.02608,0.19507,0.88418,0.90384,0.91408,0.95993,0.95993,0.08757,0.27529,0.1272,5.24202e-05,5.24202e-05,5.24202e-05
85,2934.97,0.02557,0.19305,0.88621,0.90977,0.93163,0.96177,0.96177,0.09411,0.2697,0.13034,4.95096e-05,4.95096e-05,4.95096e-05
86,2969.02,0.02507,0.18876,0.88472,0.90545,0.91517,0.95618,0.95618,0.10314,0.29404,0.13338,4.6599e-05,4.6599e-05,4.6599e-05
87,3003.05,0.02568,0.19011,0.88522,0.93034,0.91842,0.96308,0.96308,0.09962,0.26315,0.12544,4.36884e-05,4.36884e-05,4.36884e-05
88,3037.04,0.02499,0.19486,0.88485,0.94752,0.9047,0.96988,0.96988,0.09418,0.2647,0.12177,4.07778e-05,4.07778e-05,4.07778e-05
89,3071.15,0.02463,0.18395,0.88231,0.92327,0.91136,0.96452,0.96452,0.08021,0.26368,0.10721,3.78672e-05,3.78672e-05,3.78672e-05
90,3105.22,0.02422,0.18439,0.88463,0.9251,0.93006,0.96391,0.96391,0.07191,0.25161,0.09741,3.49566e-05,3.49566e-05,3.49566e-05
91,3153.43,0.02337,0.10208,0.90415,0.8876,0.93465,0.9665,0.96596,0.07504,0.26292,0.09746,3.2046e-05,3.2046e-05,3.2046e-05
92,3187.35,0.01948,0.08276,0.89608,0.9174,0.92068,0.96001,0.96001,0.0696,0.2733,0.09384,2.91354e-05,2.91354e-05,2.91354e-05
93,3221.35,0.01871,0.06109,0.90001,0.92268,0.9216,0.95843,0.95843,0.05837,0.26389,0.07733,2.62248e-05,2.62248e-05,2.62248e-05
94,3255.26,0.01795,0.0631,0.8932,0.91723,0.92481,0.96199,0.96157,0.06174,0.23473,0.07893,2.33142e-05,2.33142e-05,2.33142e-05
95,3289.17,0.0174,0.0644,0.8995,0.91428,0.93248,0.96121,0.96079,0.0612,0.25055,0.07958,2.04036e-05,2.04036e-05,2.04036e-05
96,3323.09,0.01607,0.05851,0.89775,0.91246,0.93579,0.96571,0.96571,0.05764,0.23791,0.0761,1.7493e-05,1.7493e-05,1.7493e-05
97,3357.03,0.01607,0.06002,0.8995,0.94303,0.90979,0.96186,0.96145,0.06287,0.25318,0.08146,1.45824e-05,1.45824e-05,1.45824e-05
98,3391,0.01542,0.05323,0.89239,0.91746,0.92914,0.96848,0.96848,0.07227,0.27522,0.09161,1.16718e-05,1.16718e-05,1.16718e-05
99,3425.06,0.01422,0.04869,0.8978,0.91631,0.92408,0.96909,0.96909,0.06115,0.26561,0.07878,8.7612e-06,8.7612e-06,8.7612e-06
100,3459.05,0.01397,0.05157,0.89898,0.93365,0.91219,0.96396,0.96396,0.05439,0.24746,0.07081,5.8506e-06,5.8506e-06,5.8506e-06
